Episode,Reward,Steps,Epsilon,Avg_Reward,Avg_Steps,Avg_Loss,Timestamp
46,241.00000000000185,483,0.00998645168764533,154.901777777778,316.22222222222223,0.23974310409277677,2025-03-28 00:39:06
101,128.57000000000033,249,0.00998645168764533,159.20080000000024,321.47,0.1849934551026672,2025-03-28 01:04:42
