Episode,Reward,Steps,Epsilon,Avg_Reward,Avg_Steps,Timestamp
1,79.30000000000054,609,0.25450776877280124,79.30000000000054,609.0,2025-03-26 23:52:45
2,33.099999999999774,301,0.11939502647758558,56.20000000000016,455.0,2025-03-26 23:52:48
3,22.399999999999878,227,0.06742445445908266,44.933333333333394,379.0,2025-03-26 23:52:50
4,22.399999999999878,227,0.00998645168764533,44.933333333333394,379.0,2025-03-26 23:52:59
1,75.8500000000004,586,0.2702863258025825,75.8500000000004,586.0,2025-03-26 23:58:50
2,16.299999999999933,187,0.16873052768933355,46.07500000000017,386.5,2025-03-26 23:58:52
3,148.10000000000275,1000,0.013763663225419333,80.08333333333437,591.0,2025-03-26 23:59:03
4,39.249999999999716,338,0.00998645168764533,69.87500000000071,527.75,2025-03-26 23:59:06
5,148.10000000000275,1000,0.00998645168764533,85.52000000000112,622.2,2025-03-26 23:59:17
6,10.40000000000002,205,0.00998645168764533,73.00000000000094,552.6666666666666,2025-03-26 23:59:19
7,144.15000000000256,1000,0.00998645168764533,83.16428571428688,616.5714285714286,2025-03-26 23:59:29
8,31.149999999999793,288,0.00998645168764533,76.66250000000099,575.5,2025-03-26 23:59:32
9,50.149999999999615,412,0.00998645168764533,73.7166666666675,557.3333333333334,2025-03-26 23:59:36
10,13.599999999999959,171,0.00998645168764533,67.70500000000075,518.7,2025-03-26 23:59:38
11,18.099999999999916,201,0.00998645168764533,63.19545454545521,489.8181818181818,2025-03-26 23:59:40
12,18.099999999999916,201,0.00998645168764533,63.19545454545521,489.8181818181818,2025-03-26 23:59:44
1,104.4500000000015,774,0.16873052768933355,104.4500000000015,774.0,2025-03-27 01:45:43
2,21.099999999999888,221,0.09672876157528969,62.77500000000069,497.5,2025-03-27 01:45:45
3,148.55000000000277,1000,0.00998645168764533,91.36666666666804,665.0,2025-03-27 01:45:58
4,57.79999999999973,463,0.00998645168764533,82.97500000000096,614.5,2025-03-27 01:46:04
5,66.85000000000005,576,0.00998645168764533,79.75000000000077,606.8,2025-03-27 01:46:11
6,148.50000000000279,1000,0.00998645168764533,91.20833333333444,672.3333333333334,2025-03-27 01:46:24
7,144.55000000000257,1000,0.00998645168764533,98.82857142857274,719.1428571428571,2025-03-27 01:46:37
8,148.10000000000275,1000,0.00998645168764533,104.9875000000015,754.25,2025-03-27 01:46:50
9,45.34999999999966,380,0.00998645168764533,98.36111111111241,712.6666666666666,2025-03-27 01:46:55
10,148.9000000000028,1000,0.00998645168764533,103.41500000000144,741.4,2025-03-27 01:47:07
11,61.949999999999875,488,0.00998645168764533,99.64545454545583,718.3636363636364,2025-03-27 01:47:13
12,28.599999999999817,271,0.00998645168764533,93.72500000000117,681.0833333333334,2025-03-27 01:47:17
13,148.70000000000277,1000,0.00998645168764533,97.95384615384745,705.6153846153846,2025-03-27 01:47:30
14,148.50000000000279,1000,0.00998645168764533,101.56428571428712,726.6428571428571,2025-03-27 01:47:42
15,147.90000000000276,1000,0.00998645168764533,104.65333333333483,744.8666666666667,2025-03-27 01:47:54
16,148.10000000000275,1000,0.00998645168764533,107.36875000000157,760.8125,2025-03-27 01:48:07
17,86.90000000000083,657,0.00998645168764533,106.16470588235447,754.7058823529412,2025-03-27 01:48:15
18,148.50000000000279,1000,0.00998645168764533,108.51666666666826,768.3333333333334,2025-03-27 01:48:28
19,148.10000000000275,1000,0.00998645168764533,110.60000000000166,780.5263157894736,2025-03-27 01:48:41
20,10.40000000000002,205,0.00998645168764533,105.59000000000158,751.75,2025-03-27 01:48:43
21,148.50000000000279,1000,0.00998645168764533,107.63333333333496,763.5714285714286,2025-03-27 01:48:56
22,148.30000000000277,1000,0.00998645168764533,109.48181818181988,774.3181818181819,2025-03-27 01:49:09
23,57.849999999999724,466,0.00998645168764533,107.23695652174074,760.9130434782609,2025-03-27 01:49:15
24,148.10000000000275,1000,0.00998645168764533,108.939583333335,770.875,2025-03-27 01:49:28
25,148.10000000000275,1000,0.00998645168764533,110.50600000000169,780.04,2025-03-27 01:49:41
26,113.95000000000185,840,0.00998645168764533,110.63846153846323,782.3461538461538,2025-03-27 01:49:52
27,148.50000000000279,1000,0.00998645168764533,112.04074074074248,790.4074074074074,2025-03-27 01:50:05
28,148.10000000000275,1000,0.00998645168764533,113.3285714285732,797.8928571428571,2025-03-27 01:50:17
29,22.89999999999987,233,0.00998645168764533,110.21034482758792,778.4137931034483,2025-03-27 01:50:20
30,22.89999999999987,233,0.00998645168764533,110.21034482758792,778.4137931034483,2025-03-27 01:50:31
1,129.50000000000244,941,0.11074712159185099,129.50000000000244,941.0,2025-03-27 01:50:56
2,63.34999999999992,498,0.03178919665971424,96.42500000000118,719.5,2025-03-27 01:51:03
3,109.30000000000167,809,0.00998645168764533,100.716666666668,749.3333333333334,2025-03-27 01:51:13
4,148.10000000000275,1000,0.00998645168764533,112.56250000000169,812.0,2025-03-27 01:51:26
5,78.2000000000005,599,0.00998645168764533,105.69000000000146,769.4,2025-03-27 01:51:34
6,78.2000000000005,599,0.00998645168764533,105.69000000000146,769.4,2025-03-27 01:51:43
7,148.50000000000279,1000,0.09576389217857617,112.82500000000168,807.8333333333334,2025-03-27 02:09:37
8,148.10000000000275,1000,0.00998645168764533,117.86428571428755,835.2857142857143,2025-03-27 02:09:50
9,148.9000000000028,1000,0.00998645168764533,121.74375000000197,855.875,2025-03-27 02:10:03
10,148.9000000000028,1000,0.00998645168764533,121.74375000000197,855.875,2025-03-27 02:10:04
11,70.58000000000003,481,0.3507711574848344,116.05888888889064,814.2222222222222,2025-03-27 02:23:22
